InvoiceDate,total_amount,lag_1,lag_2,lag_3,lag_7,lag_14,lag_30
2009-12-01 11:58:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:02:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:13:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:14:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:18:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:19:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:20:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:22:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:30:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:33:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:36:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:47:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:52:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:54:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:55:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:56:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 12:57:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:07:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:13:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:16:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:19:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:20:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:29:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:31:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:37:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:38:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:41:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:43:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:47:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:48:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:49:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 13:50:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 14:14:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 14:19:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 14:35:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 14:40:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 14:48:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 14:53:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 14:56:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 14:59:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 15:19:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 15:26:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 15:36:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 16:05:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 16:17:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 16:18:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 16:30:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 16:34:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 16:44:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 17:08:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 17:19:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 17:28:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 17:31:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 17:45:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 17:50:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 18:03:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 18:07:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 18:13:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 18:35:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-01 19:19:00,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-02 08:15:00,52941.99,44048.69,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-02 08:16:00,52941.99,52941.99,44048.69,44048.69,44048.69,44048.69,44048.69
2009-12-02 08:58:00,52941.99,52941.99,52941.99,44048.69,44048.69,44048.69,44048.69
2009-12-02 09:21:00,52941.99,52941.99,52941.99,52941.99,44048.69,44048.69,44048.69
2009-12-02 09:23:00,52941.99,52941.99,52941.99,52941.99,44048.69,44048.69,44048.69
2009-12-02 09:35:00,52941.99,52941.99,52941.99,52941.99,44048.69,44048.69,44048.69
